Temperatura_Max,Temperatura_Min,Umidade_Max,Ventania,Precipitacao,Nuvem,Pressao
31.3,13.6,53.7,7.0,0.0,0.0,1014.9
31.3,13.6,67.1,6.9,0.0,0.0,1015.4
31.3,13.6,64.6,6.9,0.0,0.0,1015.6
31.3,13.6,60.4,7.1,0.0,0.0,1016.2
31.3,13.6,58.7,7.1,0.0,0.0,1016.8
31.3,13.6,65.0,6.5,0.0,1.0,1017.3
31.3,13.6,73.6,5.4,0.0,0.0,1017.6
31.3,13.6,79.6,5.4,0.0,0.0,1017.3
31.3,13.6,81.9,5.3,0.0,0.0,1016.8
31.3,13.6,80.6,5.2,0.0,0.0,1016.3
31.3,13.6,79.9,6.0,0.0,0.0,1015.9
31.3,13.6,84.1,6.7,0.0,0.0,1015.7
31.3,13.6,86.8,7.3,0.0,0.0,1016.2
31.3,13.6,86.7,7.8,0.0,0.0,1016.9
31.3,13.7,81.0,8.4,0.0,0.0,1017.6
31.2,14.5,66.5,8.7,0.0,0.0,1018.3
31.2,15.2,53.5,9.3,0.0,0.0,1018.6
31.2,15.2,42.1,9.6,0.0,0.0,1018.2
31.2,15.2,31.6,9.6,0.0,0.0,1017.6
31.5,15.2,23.3,8.2,0.0,0.0,1016.6
32.4,15.2,20.6,7.7,0.0,0.0,1015.4
32.7,15.2,19.2,6.3,0.0,0.0,1014.5
32.7,15.2,24.1,5.2,0.0,0.0,1013.7
32.7,15.2,39.9,7.5,0.0,0.0,1013.4
32.7,15.2,49.5,9.6,0.0,0.0,1013.7
32.7,15.2,55.2,10.4,0.0,0.0,1014.1
32.7,15.2,49.2,10.4,0.0,0.0,1014.8
32.7,15.2,53.4,9.7,0.0,0.0,1015.7
32.7,15.2,45.2,13.2,0.0,0.0,1016.2
32.7,15.2,48.3,14.6,0.0,0.0,1016.4
32.7,15.2,49.9,14.6,0.0,0.0,1016.3
32.7,15.2,53.7,13.5,0.0,0.0,1016.5
32.7,15.2,57.1,11.1,0.0,0.0,1015.7
32.7,15.2,61.1,9.2,0.0,0.0,1014.9
32.7,15.2,65.4,8.8,0.0,0.0,1014.5
32.7,15.2,69.2,9.1,0.0,0.0,1014.2
